id,seed,forcedness,compression_score,stagnation,efficiency,auto_move_flag
16010438,x#Tz#nIc#ZYjN#wptAy#GLveQU#CKldBuP#WSmEiVMraXHfDhgbOkoJRqsF,138.000000,2061.000000,47.000000,0.616667,1
16010439,M#GQ#hcu#oVyr#mXEjR#sKFDPN#fIZvTSO#beLWaAwqCxkinzgHtplYUdBJ,95.000000,1826.000000,44.000000,0.668831,1
16010440,b#vx#VQR#DNFa#Xidln#hKJsBP#WqOukcp#oGMmCfAYLIHgUZEwtTySjerz,131.000000,1750.000000,46.000000,0.685393,1
16010461,j#Kw#XZD#TNqi#tQsrP#YLIJfv#mRhaUpe#doCglESOxHybFVnzBWMukAcG,123.500000,1576.000000,43.000000,0.686813,1
16010462,A#Fa#WTQ#mRiI#GsfZC#LYzNSp#OrEcByP#VenuDUlqvhjJokdKgHwbMtXx,96.500000,881.000000,42.000000,0.644737,1
16010463,p#ln#KZj#rAmM#RetqQ#XIodGH#gFTYWVb#DCszEBuhJafPwkLNUciOSvyx,137.000000,2527.000000,51.000000,0.625000,1
16010464,U#NO#qjn#gSsC#YExdH#uIWVoX#Mbepkyt#ilTDcFvJrQAhmwLfKaGPRZzB,165.000000,4560.000000,55.000000,0.552083,1
16010465,G#VP#Mso#KTwW#tDSef#kUBCrY#uRJqIpb#cQyhOAznHdLmalXgiNZFjExv,137.000000,1621.000000,47.000000,0.630435,1
16010466,D#IL#WJt#iHFo#gQKCn#VbXcqe#svSwzZB#lmEkOTNpduYrxhayRjPfUGAM,158.000000,2458.000000,55.000000,0.552885,1
16010467,D#xv#onM#QIcE#hqjAd#RfsPwu#WlFzgme#ZOGSbryTVpakUBJiKCHtXLNY,130.500000,2431.000000,44.000000,0.623457,1
16010460,m#gM#xAY#rNvE#JdlPX#SToypO#atIknDf#qBCUZRcbhWiGFsQezLuHVKjw,133.500000,1293.000000,55.000000,0.571429,1
16010468,l#pg#QqI#DSyf#PeXtN#dMowEB#WYxrbJj#COnzGvLuchiHUaRVFZsTKmkA,148.500000,2065.000000,57.000000,0.603774,1
16010470,w#To#Vad#futx#UCvAs#ljDLpP#cGMnOXN#qrbQmKyEYSkJZWBeiHRzgIhF,162.500000,1322.000000,56.000000,0.556701,1
16010471,U#AX#maC#HSRh#WviNy#IkqogE#MlKdfJn#tswDYLOjVGPFepbBZuxQcTzr,172.500000,2185.000000,45.000000,0.621212,1
16010472,H#bk#FEm#sfOy#dnwhg#PCZGeQ#LBoUSvN#KtlrMDITaJqziVAXxWjRpcYu,113.000000,3883.000000,73.000000,0.441176,1
16010473,h#Bg#KCb#xQXF#VdROa#kcyDLj#TlisenP#UvSpHIEWGMqJofZNmurtzAYw,132.500000,2367.000000,40.000000,0.708333,1
16010474,Z#xV#kUJ#QiLW#nsluv#zRrdof#wYhySqA#BGCpNIeMTKaDHFEPbmtgXjcO,113.000000,905.000000,35.000000,0.694444,1
